2023/02/06 17:38:28.202 [D] [mysql.go:92]  Execute SQL with DSN(srd-mariadb102-01-qcsh-test.nioint.com:3306/mer_order_sit) : select @@version
2023/02/06 17:55:08.875 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.875 [D] [soar.go:137]  main loop SQL: select id, account_id, cancel_no, refund_no, out_order_no, out_biz_no, refund_payment_no, refund_source, refund_point, refund_point_result, refund_cash, refund_cash_result, status, auto_refund_times, refund_type, is_delete, create_user, create_time, update_user, update_time, biz_type from refund_money_record where status in ( 11 , 21 , 40 , -1 ) and auto_refund_times <5 order by id desc limit 0,50
2023/02/06 17:55:08.876 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.876 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.877 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.877 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.877 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.877 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.877 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.877 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.877 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.878 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.878 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.878 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.878 [D] [soar.go:137]  main loop SQL: select id, account_id, cancel_no, refund_no, out_order_no, out_biz_no, refund_payment_no, refund_source, refund_point, refund_point_result, refund_cash, refund_cash_result, status, auto_refund_times, refund_type, is_delete, create_user, create_time, update_user, update_time, biz_type from refund_money_record where status in ( 11 , 21 , 40 , -1 ) and auto_refund_times <5 order by id desc limit 0,50
2023/02/06 17:55:08.879 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.879 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.880 [D] [soar.go:137]  main loop SQL: select id, account_id, cancel_no, refund_no, out_order_no, out_biz_no, refund_payment_no, refund_source, refund_point, refund_point_result, refund_cash, refund_cash_result, status, auto_refund_times, refund_type, is_delete, create_user, create_time, update_user, update_time, biz_type from refund_money_record where status in ( 11 , 21 , 40 , -1 ) and auto_refund_times <5 order by id desc limit 0,50
2023/02/06 17:55:08.880 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.880 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.880 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.880 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.880 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.881 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.881 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.881 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.881 [D] [soar.go:137]  main loop SQL: select id, account_id, cancel_no, refund_no, out_order_no, out_biz_no, refund_payment_no, refund_source, refund_point, refund_point_result, refund_cash, refund_cash_result, status, auto_refund_times, refund_type, is_delete, create_user, create_time, update_user, update_time, biz_type from refund_money_record where status in ( 11 , 21 , 40 , -1 ) and auto_refund_times <5 order by id desc limit 0,50
2023/02/06 17:55:08.881 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.882 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.882 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.882 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.882 [D] [soar.go:137]  main loop SQL: select id, account_id, cancel_no, refund_no, out_order_no, out_biz_no, refund_payment_no, refund_source, refund_point, refund_point_result, refund_cash, refund_cash_result, status, auto_refund_times, refund_type, is_delete, create_user, create_time, update_user, update_time, biz_type from refund_money_record where status in ( 11 , 21 , 40 , -1 ) and auto_refund_times <5 order by id desc limit 0,50
2023/02/06 17:55:08.883 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.883 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.883 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.883 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.883 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.883 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.884 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.884 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.884 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.884 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.884 [D] [soar.go:137]  main loop SQL: select id, account_id, cancel_no, refund_no, out_order_no, out_biz_no, refund_payment_no, refund_source, refund_point, refund_point_result, refund_cash, refund_cash_result, status, auto_refund_times, refund_type, is_delete, create_user, create_time, update_user, update_time, biz_type from refund_money_record where status in ( 11 , 21 , 40 , -1 ) and auto_refund_times <5 order by id desc limit 0,50
2023/02/06 17:55:08.885 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.885 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.885 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.886 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.886 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.886 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.886 [D] [soar.go:137]  main loop SQL: SELECT * FROM refund_money WHERE order_no = '818332302065794353'
2023/02/06 17:55:08.886 [D] [soar.go:137]  main loop SQL: SELECT id,order_no,biz_mode,order_status,user_account,pay_time,pay_type,order_source,create_time,expire_time,exchange_rate,entrance,order_title,so_do_time,comment,last_shipments_time,shipped_time,received_time,is_delete,vin,vid,order_cancel_type,external_order_no,whole_order_no,abnormal_refund,order_mode,sales_merchant,store,source_platform,update_time,update_account,create_account,car_order_no,install_type,mer_sales_merchant,source_package_no,brand,area FROM orders WHERE order_no = '818332302065794353' AND biz_mode = 1
2023/02/06 17:55:08.886 [D] [soar.go:137]  main loop SQL: SELECT whole_order_no, goods_total_money, used_point, sale_money, whole_order_status, user_account, pay_time, pay_type, order_source, create_time, vin, vid, freight, store, car_order_no, approval_no, pay_version, gift_type, periods, exchange_rate, right_interest_type, marker, fulfillment_no, order_type, install_type, deposit, balance, extend_json, right_interest_type, bill_no FROM whole_order WHERE whole_order_no='818402302064975299'
2023/02/06 17:55:08.886 [D] [soar.go:137]  main loop SQL: SELECT id,express_company,express_company_code,ware_house,ware_house_code,package_no,pkg_status,create_time,has_comment,express_comment,logistics_no,order_no,is_delete,can_refund_point,can_refund_money,external_package_no,package_cancel_type,whole_order_no,shipped_time,received_time,update_time,update_account,create_account,store,source_platform,install_type,activate_time,message_push_code,rule_code,deliverycar_service,have_undefault_comment,sud_time,sub_type,queue_number,spaa_status,relation_package_no,biz_mode,source_package_no,relate_refund_no,brand,area FROM order_package WHERE package_no = 'w012023020612181774204' AND is_delete = 0
2023/02/06 17:55:08.887 [D] [soar.go:137]  main loop SQL: SELECT id,order_no,biz_mode,order_status,user_account,pay_time,pay_type,order_source,create_time,expire_time,exchange_rate,entrance,order_title,so_do_time,comment,last_shipments_time,shipped_time,received_time,is_delete,vin,vid,order_cancel_type,external_order_no,whole_order_no,abnormal_refund,order_mode,sales_merchant,store,source_platform,update_time,update_account,create_account,car_order_no,install_type,mer_sales_merchant,source_package_no,brand,area FROM orders WHERE order_no = '818332302065794353' AND biz_mode = 1
2023/02/06 17:55:08.887 [D] [soar.go:137]  main loop SQL: SELECT id,express_company,express_company_code,ware_house,ware_house_code,package_no,pkg_status,create_time,has_comment,express_comment,logistics_no,order_no,is_delete,can_refund_point,can_refund_money,external_package_no,package_cancel_type,whole_order_no,shipped_time,received_time,update_time,update_account,create_account,store,source_platform,install_type,activate_time,message_push_code,rule_code,deliverycar_service,have_undefault_comment,sud_time,sub_type,queue_number,spaa_status,relation_package_no,biz_mode,source_package_no,relate_refund_no,brand,area FROM order_package WHERE package_no = 'w012023020612181774204' AND is_delete = 0
2023/02/06 17:55:08.888 [D] [soar.go:137]  main loop SQL: SELECT * FROM refund_money WHERE order_no = '818332302065794353'
2023/02/06 17:55:08.888 [D] [soar.go:137]  main loop SQL: SELECT whole_order_no, goods_total_money, used_point, sale_money, whole_order_status, user_account, pay_time, pay_type, order_source, create_time, vin, vid, freight, store, car_order_no, approval_no, pay_version, gift_type, periods, exchange_rate, right_interest_type, marker, fulfillment_no, order_type, install_type, deposit, balance, extend_json, right_interest_type, bill_no FROM whole_order WHERE whole_order_no='818402302064975299'
2023/02/06 17:55:08.888 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.888 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.889 [D] [soar.go:137]  main loop SQL: SELECT id,order_no,biz_mode,order_status,user_account,pay_time,pay_type,order_source,create_time,expire_time,exchange_rate,entrance,order_title,so_do_time,comment,last_shipments_time,shipped_time,received_time,is_delete,vin,vid,order_cancel_type,external_order_no,whole_order_no,abnormal_refund,order_mode,sales_merchant,store,source_platform,update_time,update_account,create_account,car_order_no,install_type,mer_sales_merchant,source_package_no,brand,area FROM orders WHERE order_no = '818332302065794353' AND biz_mode = 1
2023/02/06 17:55:08.889 [D] [soar.go:137]  main loop SQL: SELECT whole_order_no, goods_total_money, used_point, sale_money, whole_order_status, user_account, pay_time, pay_type, order_source, create_time, vin, vid, freight, store, car_order_no, approval_no, pay_version, gift_type, periods, exchange_rate, right_interest_type, marker, fulfillment_no, order_type, install_type, deposit, balance, extend_json, right_interest_type, bill_no FROM whole_order WHERE whole_order_no='818402302064975299'
2023/02/06 17:55:08.889 [D] [soar.go:137]  main loop SQL: SELECT * FROM refund_money WHERE order_no = '818332302065794353'
2023/02/06 17:55:08.889 [D] [soar.go:137]  main loop SQL: SELECT id,express_company,express_company_code,ware_house,ware_house_code,package_no,pkg_status,create_time,has_comment,express_comment,logistics_no,order_no,is_delete,can_refund_point,can_refund_money,external_package_no,package_cancel_type,whole_order_no,shipped_time,received_time,update_time,update_account,create_account,store,source_platform,install_type,activate_time,message_push_code,rule_code,deliverycar_service,have_undefault_comment,sud_time,sub_type,queue_number,spaa_status,relation_package_no,biz_mode,source_package_no,relate_refund_no,brand,area FROM order_package WHERE package_no = 'w012023020612181774204' AND is_delete = 0
2023/02/06 17:55:08.889 [D] [soar.go:137]  main loop SQL: select id, account_id, cancel_no, refund_no, out_order_no, out_biz_no, refund_payment_no, refund_source, refund_point, refund_point_result, refund_cash, refund_cash_result, status, auto_refund_times, refund_type, is_delete, create_user, create_time, update_user, update_time, biz_type from refund_money_record where status in ( 11 , 21 , 40 , -1 ) and auto_refund_times <5 order by id desc limit 0,50
2023/02/06 17:55:08.889 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.890 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.890 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.890 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.890 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.890 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.891 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.891 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.891 [D] [soar.go:137]  main loop SQL: select id, account_id, cancel_no, refund_no, out_order_no, out_biz_no, refund_payment_no, refund_source, refund_point, refund_point_result, refund_cash, refund_cash_result, status, auto_refund_times, refund_type, is_delete, create_user, create_time, update_user, update_time, biz_type from refund_money_record where status in ( 11 , 21 , 40 , -1 ) and auto_refund_times <5 order by id desc limit 0,50
2023/02/06 17:55:08.892 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
2023/02/06 17:55:08.892 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:55:08.892 [D] [soar.go:137]  main loop SQL: SELECT id,refund_no,storage_status,is_virtual_refund,warehouse_name,warehouse_address,warehouse_phone,warehouse_contact,send_back,express_company,logistics_no,remark,is_delete,create_user,create_time,update_user,update_time,is_inform_write_logistics,warehouse_code FROM refund_storage WHERE refund_no = '861342301179678831' AND is_delete = 0
